"Day_Purchase","Payment_cycle","Point_of_sale","Invoice_Local_curr","Currency","Invoice_Euro","Country","City","LAT","LNG"
2015-10-24,2015-11-18,"MLADINSKA KNJIGA TRG",NA,NA,83.25,"Slovenija","Ljubljana","46.056947","14.505751"
2015-10-29,2015-11-18,"GAMBIT TRADE",NA,NA,167.55,"Slovenija","Ljubljana","46.056947","14.505751"
2015-11-07,2015-11-18,"EUROSPAR TARV ALPI G",NA,NA,25.35,"Italy","Traviso","45.666889","12.243044"
2015-12-08,2016-12-18,"LETNA ÈLANARINA",NA,NA,21.5,"Slovenija","Ljubljana","46.056947","14.505751"
2015-12-17,2016-01-18,"WWW.ALIEXPRESS.COM","14,40 USD","USD",13.3,"China","Hangzhou","30.274085","120.155070"
2015-12-17,2016-01-18,"WWW.ALIEXPRESS.COM","5,98 USD","USD",5.52,"China","Hangzhou","30.274085","120.155070"
2015-12-17,2016-01-18,"WWW.ALIEXPRESS.COM","6,99 USD","USD",6.45,"China","Hangzhou","30.274085","120.155070"
2015-12-17,2016-01-18,"WWW.ALIEXPRESS.COM","1,99 USD","USD",1.84,"China","Hangzhou","30.274085","120.155070"
2015-12-18,2016-01-18,"WWW.ALIEXPRESS.COM","3,95 USD","USD",3.66,"China","Hangzhou","30.274085","120.155070"
2016-01-07,2016-01-18,"SUS*PSYCHOLOGY TODAY","49,99 USD","USD",46.5,"USA","Seattle","47.606209","-122.332071"
2016-01-24,2016-02-18,"WWW.ALIEXPRESS.COM","6,93 USD","USD",6.42,"China","Hangzhou","30.274085","120.155070"
2016-01-24,2016-02-18,"WWW.ALIEXPRESS.COM","6,27 USD","USD",5.81,"China","Hangzhou","30.274085","120.155070"
2016-01-24,2016-02-18,"WWW.ALIEXPRESS.COM","1,94 USD","USD",1.8,"China","Hangzhou","30.274085","120.155070"
2016-02-20,2016-03-18,"Amazon DE Marketplac",NA,NA,6.15,"Germany","Munich","48.1351253","11.581980"
2016-02-20,2016-03-18,"Amazon DE Marketplac",NA,NA,6.14,"Germany","Munich","48.1351253","11.581980"
2016-02-22,2016-03-18,"Amazon DE Marketplac",NA,NA,20.24,"Germany","Munich","48.1351253","11.581980"
2016-02-23,2016-03-18,"Amazon DE Marketplac",NA,NA,6,"Germany","Munich","48.1351253","11.581980"
2016-02-26,2016-03-18,"AUTOST VILLESSE/UDIN",NA,NA,3.7,"Italy","Udine","46.071067","13.234579"
2016-02-27,2016-03-18,"AUTOST PORTOGRUARO/V",NA,NA,5.4,"Italy","Portogruaro","45.780576","12.837399"
2016-03-02,2016-03-18,"INTERSPAR CITYPARK L",NA,NA,11.49,"Slovenija","Ljubljana","46.056947","14.505751"
2016-03-15,2016-04-18,"WWW.ALIEXPRESS.COM","6,00 USD","USD",5.42,"China","Hangzhou","30.274085","120.155070"
2016-03-15,2016-04-18,"WWW.ALIEXPRESS.COM","3,10 USD","USD",2.8,"China","Hangzhou","30.274085","120.155070"
2016-03-15,2016-04-18,"WWW.ALIEXPRESS.COM","28,99 USD","USD",26.22,"China","Hangzhou","30.274085","120.155070"
2016-03-18,2016-04-18,"WWW.ALIEXPRESS.COM","0,91 USD","USD",0.81,"China","Hangzhou","30.274085","120.155070"
2016-03-19,2016-04-18,"WWW.ALIEXPRESS.COM","1,18 USD","USD",1.05,"China","Hangzhou","30.274085","120.155070"
2016-03-19,2016-04-18,"WWW.ALIEXPRESS.COM","3,50 USD","USD",3.11,"China","Hangzhou","30.274085","120.155070"
2016-03-24,2016-04-18,"WWW.ALIEXPRESS.COM","17,55 USD","USD",15.75,"China","Hangzhou","30.274085","120.155070"
2016-03-27,2016-04-18,"WWW.ALIEXPRESS.COM","3,50 USD","USD",3.14,"China","Hangzhou","30.274085","120.155070"
2016-03-28,2016-04-18,"LESNINA PE BRDO",NA,NA,100.5,"Slovenija","Ljubljana","46.056947","14.505751"
2016-03-29,2016-04-18,"WWW.ALIEXPRESS.COM","4,16 USD","USD",3.73,"China","Hangzhou","30.274085","120.155070"
2016-03-30,2016-04-18,"HOTEL BOSEI",NA,NA,53.7,"Austria","Wien","48.208174","16.373819"
2016-03-31,2016-04-18,"MSFT *AZURE",NA,NA,92.25,"USA","Seattle","47.606209","-122.332071"
2016-04-03,2016-04-18,"ADRIA AIRWAYS D.D.",NA,NA,349.25,"Slovenija","Brnik","46.219659","14.435486"
2016-04-08,2016-04-18,"WWW.ALIEXPRESS.COM","14,73 USD","USD",13,"China","Hangzhou","30.274085","120.155070"
2016-04-09,2016-05-18,"WWW.ALIEXPRESS.COM","1,05 USD","USD",0.93,"China","Hangzhou","30.274085","120.155070"
2016-04-09,2016-05-18,"WWW.ALIEXPRESS.COM","3,12 USD","USD",2.75,"China","Hangzhou","30.274085","120.155070"
2016-04-10,2016-05-18,"WWW.ALIEXPRESS.COM","1,72 USD","USD",1.52,"China","Hangzhou","30.274085","120.155070"
2016-04-16,2016-05-18,"SONCEK",NA,NA,550,"Slovenija","Ljubljana","46.056947","14.505751"
2016-04-22,2016-05-18,"WWW.ALIEXPRESS.COM","2,44 USD","USD",2.17,"China","Hangzhou","30.274085","120.155070"
2016-04-22,2016-05-18,"WWW.ALIEXPRESS.COM","2,88 USD","USD",2.56,"China","Hangzhou","30.274085","120.155070"
2016-04-22,2016-05-18,"WWW.ALIEXPRESS.COM","3,53 USD","USD",3.14,"China","Hangzhou","30.274085","120.155070"
2016-04-28,2016-05-18,"LESNINA PE BRDO",NA,NA,100.5,"Slovenija","Ljubljana","46.056947","14.505751"
2016-05-16,2016-06-18,"SONCEK",NA,NA,550,"Slovenija","Ljubljana","46.056947","14.505751"
2016-05-31,2016-06-18,"TICKETS",NA,NA,120.57,"Brasil","Sao Paolo","-23.550520","-46.633309"
2016-05-31,2016-06-18,"TICKETS",NA,NA,506.45,"Brasil","Brasilia","-15.794.229",",-47.882166"
2016-06-07,2016-06-18,"WWW.ALIEXPRESS.COM","0,97 USD","USD",0.86,"China","Hangzhou","30.274085","120.155070"
2016-06-27,2016-07-18,"AUTOST UGOVIZZA TARV",NA,NA,17.7,"Italy","Tarvisio","46.504434","13.579959"
2016-06-28,2016-07-18,"CAFECITO","101,20 BRL","BRL",27.74,"Brasil","Rio","-22.906847","-43.172896"
2016-06-28,2016-07-18,"TAMIRIS COMERCIO","35,90 BRL","BRL",9.84,"Brasil","Rio","-22.906847","-43.172896"
2016-06-29,2016-07-18,"UBER*UBER","19,44 BRL","BRL",5.43,"Brasil","Rio","-22.906847","-43.172896"
2016-06-30,2016-07-18,"UBER*UBER","14,21 BRL","BRL",4,"Brasil","Sao Paolo","-23.550520","-46.633309"
2016-07-02,2016-07-18,"GOL TRANSP AEREOS*MI","1.121,82 BRL","BRL",315.19,"Brasil","Santarem","-2.450629","-54.700923"
2016-07-02,2016-07-18,"RESTAURANTE MANGAI B","192,81 BRL","BRL",54.17,"Brasil","Santarem","-2.450629","-54.700923"
2016-07-02,2016-07-18,"POSTO DE SERVICO LUB","97,86 BRL","BRL",27.49,"Brasil","Santarem","-2.450629","-54.700923"
2016-07-03,2016-07-18,"CASTELO",NA,NA,31.03,"Brasil","Santarem","-2.450629","-54.700923"
2016-07-05,2016-07-18,"PARADA OBRIGATORIA","74,00 BRL","BRL",20.23,"Brasil","Santarem","-2.450629","-54.700923"
2016-07-07,2016-07-18,"AGUALINDA HOTEL",NA,NA,229.26,"Brasil","Santarem","-2.450629","-54.700923"
2016-07-08,2016-07-18,"TECBAN BRAZIL/TECBAN","424,00 BRL","BRL",116.95,"Brasil","Maceio","-9.649849","-35.708949"
2016-07-11,2016-08-18,"MAXI POSTO IV","57,98 BRL","BRL",15.94,"Brasil","Maragogi","-9.010372","-35.220828"
2016-07-13,2016-08-18,"MARIVALDO JESUS DE S","37,00 BRL","BRL",10.34,"Brasil","Salvador","-12.973040","-38.502304"
2016-07-14,2016-08-18,"HOTEL VILA GALE RIO","373,75 BRL","BRL",104.45,"Brasil","Rio","-22.906847","-43.172896"
2016-07-16,2016-08-18,"AUTOST VENEZIA EST/U",NA,NA,17.7,"Italy","Venezia","45.440847","12.315515"
2016-07-17,2016-08-18,"LSG SKY CHEFS RETAIL","5,00 CHF","CHF",4.59,"Swiss","Zurich","47.376887","8.541694"
2016-07-21,2016-08-18,"WWW.ALIEXPRESS.COM","2,79 USD","USD",2.54,"China","Hangzhou","30.274085","120.155070"
2016-09-21,2016-10-18,"WHO INTERNET",NA,NA,50,"Gibraltar","Gibraltar","36.140751","-5.353585"
2016-09-21,2016-10-18,"WHO INTERNET",NA,NA,100,"Gibraltar","Gibraltar","36.140751","-5.353585"
2016-09-21,2016-10-18,"WHO INTERNET",NA,NA,50,"Gibraltar","Gibraltar","36.140751","-5.353585"
2016-10-04,2016-10-18,"WWW.ALIEXPRESS.COM","2,09 USD","USD",1.88,"China","Hangzhou","30.274085","120.155070"
